fungicide ,inoculum,treatment,estimate_growth
boscalid_50ppm,1,Fungicide,4.85
boscalid_50ppm,1,Fungicide,4.7
boscalid_50ppm,2,Fungicide,5
boscalid_50ppm,2,Fungicide,4.9
boscalid_50ppm,3,Fungicide,3.5
boscalid_50ppm,3,Fungicide,3.7
boscalid_50ppm,4,Fungicide,2.2
boscalid_50ppm,4,Fungicide,2.7
boscalid_50ppm,5,Fungicide,4
boscalid_50ppm,5,Fungicide,3.65
boscalid_50ppm,6,Fungicide,5.3
boscalid_50ppm,6,Fungicide,5.35
boscalid_50ppm,7,Fungicide,4.8
boscalid_50ppm,7,Fungicide,4.8
boscalid_50ppm,8,Fungicide,3.7
boscalid_50ppm,8,Fungicide,3.9
boscalid_50ppm,9,Fungicide,4.65
boscalid_50ppm,9,Fungicide,4.8
boscalid_50ppm,13,Fungicide,3.95
boscalid_50ppm,13,Fungicide,3.85
boscalid_50ppm,1,control,6.8
boscalid_50ppm,1,control,7.1
boscalid_50ppm,2,control,5.75
boscalid_50ppm,2,control,6.25
boscalid_50ppm,3,control,5.65
boscalid_50ppm,3,control,5.55
boscalid_50ppm,4,control,1.25
boscalid_50ppm,4,control,1.05
boscalid_50ppm,5,control,5.5
boscalid_50ppm,5,control,5.45
boscalid_50ppm,6,control,6.85
boscalid_50ppm,6,control,7.1
boscalid_50ppm,7,control,6.6
boscalid_50ppm,7,control,6.9
boscalid_50ppm,8,control,6.75
boscalid_50ppm,8,control,6.7
boscalid_50ppm,9,control,6.5
boscalid_50ppm,9,control,6.2
boscalid_50ppm,13,control,5
boscalid_50ppm,13,control,4.9
boscalid_5ppm,1,Fungicide,5.5
boscalid_5ppm,1,Fungicide,5.5
boscalid_5ppm,2,Fungicide,5.2
boscalid_5ppm,2,Fungicide,4.85
boscalid_5ppm,3,Fungicide,4.45
boscalid_5ppm,3,Fungicide,4.2
boscalid_5ppm,4,Fungicide,1.95
boscalid_5ppm,4,Fungicide,1.6
boscalid_5ppm,5,Fungicide,4.3
boscalid_5ppm,5,Fungicide,4.3
boscalid_5ppm,6,Fungicide,5.8
boscalid_5ppm,6,Fungicide,5.9
boscalid_5ppm,7,Fungicide,5.4
boscalid_5ppm,7,Fungicide,5.4
boscalid_5ppm,8,Fungicide,4
boscalid_5ppm,8,Fungicide,4.3
boscalid_5ppm,9,Fungicide,5
boscalid_5ppm,9,Fungicide,5.4
boscalid_5ppm,13,Fungicide,4.05
boscalid_5ppm,13,Fungicide,3.85
boscalid_5ppm,1,control,6.8
boscalid_5ppm,1,control,7.1
boscalid_5ppm,2,control,5.75
boscalid_5ppm,2,control,6.25
boscalid_5ppm,3,control,5.65
boscalid_5ppm,3,control,5.55
boscalid_5ppm,4,control,1.25
boscalid_5ppm,4,control,1.05
boscalid_5ppm,5,control,5.5
boscalid_5ppm,5,control,5.45
boscalid_5ppm,6,control,6.85
boscalid_5ppm,6,control,7.1
boscalid_5ppm,7,control,6.6
boscalid_5ppm,7,control,6.9
boscalid_5ppm,8,control,6.75
boscalid_5ppm,8,control,6.7
boscalid_5ppm,9,control,6.5
boscalid_5ppm,9,control,6.2
boscalid_5ppm,13,control,5
boscalid_5ppm,13,control,4.9
boscalid_0.5ppm,1,Fungicide,6.55
boscalid_0.5ppm,1,Fungicide,6.55
boscalid_0.5ppm,2,Fungicide,5.1
boscalid_0.5ppm,2,Fungicide,5.1
boscalid_0.5ppm,3,Fungicide,4.9
boscalid_0.5ppm,3,Fungicide,4.85
boscalid_0.5ppm,4,Fungicide,2
boscalid_0.5ppm,4,Fungicide,2.35
