Fungicide,inoculum,experiment,treatment,experimental_repetition,growth
boscalid,152,plug,fungicide,one,1.58
boscalid,152,plug,fungicide,one,1.755
boscalid,152,plug,fungicide,one,1.77
boscalid,152,plug,fungicide,one,1.765
boscalid,152,plug,fungicide,two,3.2
boscalid,152,plug,fungicide,two,3.045
boscalid,152,plug,fungicide,two,3.05
boscalid,152,plug,fungicide,two,2.985
boscalid,152,plug,control,one,6.125
boscalid,152,plug,control,one,6.345
boscalid,152,plug,control,one,6.05
boscalid,152,plug,control,one,6.48
boscalid,152,plug,control,two,5.45
boscalid,152,plug,control,two,6.65
boscalid,152,plug,control,two,5.695
boscalid,152,plug,control,two,6.945
boscalid,152,paper,fungicide,one,2.05
boscalid,152,paper,fungicide,one,2.065
boscalid,152,paper,fungicide,one,2.2
boscalid,152,paper,fungicide,one,2.335
boscalid,152,paper,fungicide,two,2.745
boscalid,152,paper,fungicide,two,2.895
boscalid,152,paper,fungicide,two,2.69
boscalid,152,paper,fungicide,two,2.87
boscalid,152,paper,control,one,4.465
boscalid,152,paper,control,one,4.665
boscalid,152,paper,control,one,5.305
boscalid,152,paper,control,one,4.165
boscalid,152,paper,control,two,5.3
boscalid,152,paper,control,two,5.575
boscalid,152,paper,control,two,5.495
boscalid,152,paper,control,two,5.63
boscalid,274,plug,fungicide,one,1.63
boscalid,274,plug,fungicide,one,1.655
boscalid,274,plug,fungicide,one,1.6
boscalid,274,plug,fungicide,one,1.63
boscalid,274,plug,fungicide,two,2.6
boscalid,274,plug,fungicide,two,2.645
boscalid,274,plug,fungicide,two,2.66
boscalid,274,plug,fungicide,two,2.555
boscalid,274,plug,control,one,5.74
boscalid,274,plug,control,one,5.86
boscalid,274,plug,control,one,6.045
boscalid,274,plug,control,one,5.98
boscalid,274,plug,control,two,5.23
boscalid,274,plug,control,two,6.1
boscalid,274,plug,control,two,5.28
boscalid,274,plug,control,two,6.24
boscalid,274,paper,fungicide,one,2.3
boscalid,274,paper,fungicide,one,2.6
boscalid,274,paper,fungicide,one,2.35
boscalid,274,paper,fungicide,one,2.8
boscalid,274,paper,fungicide,two,2.32
boscalid,274,paper,fungicide,two,2.42
boscalid,274,paper,fungicide,two,2.36
boscalid,274,paper,fungicide,two,2.36
boscalid,274,paper,control,one,4.2
boscalid,274,paper,control,one,5.65
boscalid,274,paper,control,one,4.7
boscalid,274,paper,control,one,
boscalid,274,paper,control,two,4.835
boscalid,274,paper,control,two,5.355
boscalid,274,paper,control,two,4.95
boscalid,274,paper,control,two,5.22
boscalid,465,plug,fungicide,one,1.75
boscalid,465,plug,fungicide,one,1.885
boscalid,465,plug,fungicide,one,1.925
boscalid,465,plug,fungicide,one,2.05
boscalid,465,plug,fungicide,two,3.15
boscalid,465,plug,fungicide,two,3.15
boscalid,465,plug,fungicide,two,3.145
boscalid,465,plug,fungicide,two,2.98
boscalid,465,plug,control,one,6.525
boscalid,465,plug,control,one,6.485
boscalid,465,plug,control,one,6.515
boscalid,465,plug,control,one,6.4
boscalid,465,plug,control,two,5.5
boscalid,465,plug,control,two,6.555
boscalid,465,plug,control,two,5.695
boscalid,465,plug,control,two,6.615
boscalid,465,paper,fungicide,one,2.6
boscalid,465,paper,fungicide,one,2.9
boscalid,465,paper,fungicide,one,2.85
boscalid,465,paper,fungicide,one,2.75
boscalid,465,paper,fungicide,two,2.115
boscalid,465,paper,fungicide,two,1.855
boscalid,465,paper,fungicide,two,1.955
boscalid,465,paper,fungicide,two,2.02
boscalid,465,paper,control,one,4.15
boscalid,465,paper,control,one,4.71
boscalid,465,paper,control,one,4.705
boscalid,465,paper,control,one,4.675
boscalid,465,paper,control,two,4.075
boscalid,465,paper,control,two,4.065
boscalid,465,paper,control,two,4.285
boscalid,465,paper,control,two,4.145
boscalid,560,plug,fungicide,one,1.99
boscalid,560,plug,fungicide,one,2.065
boscalid,560,plug,fungicide,one,2.04
boscalid,560,plug,fungicide,one,1.98
boscalid,560,plug,fungicide,two,2.48
boscalid,560,plug,fungicide,two,2.465
boscalid,560,plug,fungicide,two,2.385
boscalid,560,plug,fungicide,two,2.34
boscalid,560,plug,control,one,6.175
boscalid,560,plug,control,one,6.03
boscalid,560,plug,control,one,6.015
boscalid,560,plug,control,one,6.315
boscalid,560,plug,control,two,5.37
boscalid,560,plug,control,two,6.415
boscalid,560,plug,control,two,5.21
boscalid,560,plug,control,two,6.58
boscalid,560,paper,fungicide,one,1.81
boscalid,560,paper,fungicide,one,1.815
boscalid,560,paper,fungicide,one,1.84
boscalid,560,paper,fungicide,one,1.73
boscalid,560,paper,fungicide,two,2.165
boscalid,560,paper,fungicide,two,1.99
boscalid,560,paper,fungicide,two,1.995
boscalid,560,paper,fungicide,two,2.04
boscalid,560,paper,control,one,4.845
boscalid,560,paper,control,one,4.11
boscalid,560,paper,control,one,4.475
boscalid,560,paper,control,one,4.345
boscalid,560,paper,control,two,5.73
boscalid,560,paper,control,two,6.1
boscalid,560,paper,control,two,5.75
boscalid,560,paper,control,two,5.595
boscalid,601,plug,fungicide,one,1.37
boscalid,601,plug,fungicide,one,1.48
boscalid,601,plug,fungicide,one,1.435
boscalid,601,plug,fungicide,one,1.44
boscalid,601,plug,fungicide,two,2.39
boscalid,601,plug,fungicide,two,2.33
boscalid,601,plug,fungicide,two,2.355
boscalid,601,plug,fungicide,two,2.335
boscalid,601,plug,control,one,6.42
boscalid,601,plug,control,one,6.695
boscalid,601,plug,control,one,6.65
boscalid,601,plug,control,one,6.405
boscalid,601,plug,control,two,5.375
boscalid,601,plug,control,two,6.31
boscalid,601,plug,control,two,5.52
boscalid,601,plug,control,two,6.485
boscalid,601,paper,fungicide,one,1.975
boscalid,601,paper,fungicide,one,1.96
boscalid,601,paper,fungicide,one,2.03
boscalid,601,paper,fungicide,one,1.625
boscalid,601,paper,fungicide,two,1.74
boscalid,601,paper,fungicide,two,1.795
boscalid,601,paper,fungicide,two,1.75
boscalid,601,paper,fungicide,two,1.895
